iso3,country,region,year,gdp_growth,unemployment,inflation,real_interest
THA,Таиланд,Азия,2013,2.68749556320556,0.249,2.18488618530687,3.22433498210821
THA,Таиланд,Азия,2014,0.984468863619426,0.576,1.8951418189878,3.45784317114814
THA,Таиланд,Азия,2015,3.13404724911635,0.597,-0.900424963291569,3.98101397309843
THA,Таиланд,Азия,2016,3.43515771692182,0.688,0.188149704448143,1.78511916997275
THA,Таиланд,Азия,2017,4.1776810321001,0.83,0.665631893135106,2.46971462408852
THA,Таиланд,Азия,2018,4.22287028746071,0.765,1.06389754183024,2.67979728915769
THA,Таиланд,Азия,2019,2.11455779628278,0.716,0.706728601314311,3.03891578719485
THA,Таиланд,Азия,2020,-6.05003846851622,1.099,-0.845937147357041,4.65169004750105
THA,Таиланд,Азия,2021,1.55216608426647,1.215,1.23039541318384,1.2628955644913
THA,Таиланд,Азия,2022,2.58037874709827,0.94,-1.61068030486688,-1.45349274915803
THA,Таиланд,Азия,2023,2.01775095328327,0.733,8.47805174421543,2.97300810942538
MYS,Малайзия,Азия,2010,7.42484738326097,3.32,1.62285235577035,-2.11327732642702
MYS,Малайзия,Азия,2011,5.29391283414003,3.05,3.1744709215131,-0.471868633960644
MYS,Малайзия,Азия,2012,5.47345419253853,3.04,1.66357102479206,3.7484193736755
MYS,Малайзия,Азия,2013,4.69372252557893,3.14,2.10501231233612,4.46753081745693
MYS,Малайзия,Азия,2014,6.00672194558203,2.88,3.14299050879095,2.06851821643173
MYS,Малайзия,Азия,2015,5.09153242155011,3.1,2.10438980238359,3.30703770408129
MYS,Малайзия,Азия,2016,4.44978139761541,3.44,2.09056659525742,2.82594518260627
MYS,Малайзия,Азия,2017,5.81272240983328,3.41,3.87120115774237,0.798926040327277
MYS,Малайзия,Азия,2018,4.84308697634881,3.3,0.884709160571235,4.27704807389124
MYS,Малайзия,Азия,2019,4.41318742129586,3.33,0.662891865764326,4.80161718618398
MYS,Малайзия,Азия,2020,-5.45684658426701,4.54,-1.1387021539305,4.80149199718223
MYS,Малайзия,Азия,2021,3.31534954399166,4.64,2.47710241465447,-2.11195861208843
MYS,Малайзия,Азия,2022,9.03173723044451,3.93,3.37869862549928,-2.2468071304743
MYS,Малайзия,Азия,2023,3.5370638041057,3.858,2.48886560125754,7.30135969525267
PHL,Филиппины,Азия,2010,7.33449996034538,3.605,3.78983634797591,3.16350898272397
PHL,Филиппины,Азия,2011,3.85823282795663,3.592,4.7184170471842,2.64095050382798
PHL,Филиппины,Азия,2012,6.89695171050985,3.504,3.02696391124796,3.61326895733707
PHL,Филиппины,Азия,2013,6.75053130142255,3.497,2.58268766141795,3.63093412149458
PHL,Филиппины,Азия,2014,6.34798748260867,3.6,3.59782343864211,2.39960024337773
PHL,Филиппины,Азия,2015,6.34830971672761,3.068,0.674192536845408,6.34358648995616
PHL,Филиппины,Азия,2016,7.14945675000752,2.695,1.25369880080982,4.30655097833464
PHL,Филиппины,Азия,2017,6.9309883258402,2.552,2.85318772590947,3.2319992694047
PHL,Филиппины,Азия,2018,6.34148557153473,2.338,5.30934661627707,2.29210640379307
PHL,Филиппины,Азия,2019,6.11852566221303,2.237,2.39206534422404,6.35446159033897
PHL,Филиппины,Азия,2020,-9.51829474045297,2.522,2.3931623931624,6.35446159033897
PHL,Филиппины,Азия,2021,5.71473313185116,3.398,3.92718022100332,6.35446159033897
PHL,Филиппины,Азия,2022,7.58098212785563,2.598,5.82115811213955,6.35446159033897
PHL,Филиппины,Азия,2023,5.51894967862863,2.2,5.97802515541409,6.35446159033897
AUS,Австралия,Океания,2010,2.21004795300735,5.214,2.9183370211222,6.04356005483095
AUS,Австралия,Океания,2011,2.39473494330615,5.083,3.30384784681081,1.44878757207191
AUS,Австралия,Океания,2012,3.95247138119184,5.225,1.76278299052228,5.08629843609618
AUS,Австралия,Океания,2013,2.65445302592404,5.663,2.44988248109259,6.31873407967245
